IncidntNum,Date,Time,X,Y
70985062,2007-09-25,16:06,-122.4669764,37.78102758
90354873,2009-04-05,1:25,-122.4526085,37.78656865
120266403,2012-04-03,20:07,-122.4727117,37.71786812
30636998,2003-05-28,21:00,-122.4761644,37.75051083
70388682,2007-04-16,18:04,-122.4308834,37.76511058
60486876,2006-05-07,21:10,-122.4756475,37.72852806
80110679,2008-02-01,16:51,-122.4150887,37.78367196
60261678,2006-03-09,12:32,-122.4394691,37.77477705
60431097,2006-04-23,0:01,-122.4467207,37.71920985
120553993,2012-07-13,0:08,-122.4263374,37.79351756
51074143,2005-09-24,4:07,-122.4289097,37.78953369
90964795,2009-09-18,16:50,-122.4049344,37.78149872
120318747,2012-04-22,12:15,-122.4132595,37.78295148
70750940,2007-07-25,12:20,-122.4490836,37.71236622
130866952,2013-10-13,14:36,-122.4790352,37.74477368
90457201,2009-05-02,2:59,-122.4756443,37.74305055
50069620,2005-01-19,8:07,-122.4347315,37.71619127
90833140,2009-08-17,16:20,-122.4621413,37.78110989
50848800,2005-07-29,21:26,-122.4199363,37.79869679
60169624,2006-02-13,18:10,-122.4163897,37.76524912
50057885,2005-01-16,0:30,-122.4606523,37.72655212
70726606,2007-07-18,21:26,-122.4110714,37.78175113
81330755,2008-12-13,23:10,-122.4367966,37.74475109
130782392,2013-09-17,13:20,-122.4725704,37.71717341
120434973,2012-06-01,18:30,-122.4138696,37.78186219
70217445,2007-03-01,20:30,-122.4515429,37.77804992
130732228,2013-09-02,13:45,-122.4337451,37.75935643
60189854,2006-02-19,13:12,-122.4034048,37.77542071
100169190,2010-02-19,21:31,-122.4851493,37.7857434
61081718,2006-10-10,12:30,-122.4477283,37.72902285
120622184,2012-08-06,15:45,-122.3871677,37.73185945
60103177,2006-01-27,13:54,-122.4335751,37.76917675
41444512,2004-12-21,16:02,-122.4113542,37.7864857
41006190,2004-09-02,23:00,-122.3858357,37.73961059
100413044,2010-05-04,17:02,-122.4161757,37.72891899
100319618,2010-04-06,14:30,-122.4529745,37.77448799
80449434,2008-04-29,17:30,-122.4244127,37.76800542
51073189,2006-02-13,16:00,-122.4376985,37.79963284
90636295,2009-06-21,21:34,-122.390417,37.73559261
31357232,2003-11-19,9:50,-122.4182742,37.7870372
91017523,2009-10-02,15:20,-122.4046584,37.7329487
71133854,2007-11-04,22:18,-122.4262284,37.76303129
30418326,2003-10-14,16:30,-122.4756475,37.72852806
60295752,2006-03-18,13:22,-122.3655654,37.8096707
81309841,2008-12-08,11:48,-122.3826906,37.72742614
81175363,2008-11-03,2:12,-122.4142587,37.77197237
40175782,2004-02-13,0:02,-122.4150005,37.762099
130474771,2013-06-09,14:15,-122.4725704,37.71717341
130976040,2013-11-17,23:21,-122.4198887,37.74559561
40748969,2004-07-01,9:26,-122.413443,37.76224814
100937890,2010-10-08,22:58,-122.4991819,37.7718841
120967344,2012-11-30,12:33,-122.4070043,37.77004911
60243676,2006-03-04,17:13,-122.4085974,37.78922421
31435894,2003-12-09,21:56,-122.4169389,37.79194934
60942680,2006-09-04,8:44,-122.4300064,37.77402073
91170115,2009-11-12,8:00,-122.4779397,37.75883112
70664329,2007-07-02,2:00,-122.4140273,37.77186362
51042645,2005-09-16,12:00,-122.3934464,37.76398371
90953516,2009-09-15,22:11,-122.4232272,37.79481735
30177851,2003-02-12,9:21,-122.4466072,37.72072313
30201165,2003-02-19,6:00,-122.4224802,37.74676575
90564022,2009-06-01,12:40,-122.4333301,37.7150529
51265251,2005-11-09,2:19,-122.3881127,37.72766899
70238178,2007-03-07,9:08,-122.4389633,37.78920672
130061497,2012-09-16,0:01,-122.4282851,37.7399317
130888138,2013-10-20,2:08,-122.4178034,37.76840431
80894522,2008-08-24,19:56,-122.4241093,37.78247564
50831805,2005-07-25,23:33,-122.4375321,37.76668932
70719899,2007-07-17,11:47,-122.482481,37.7633237
50982862,2005-08-31,19:56,-122.4754068,37.73932415
50369743,2005-04-04,12:00,-122.3989809,37.78620956
90788733,2009-08-03,20:37,-122.4049836,37.79578634
50963555,2005-08-27,10:35,-122.4302346,37.77978243
50478526,2005-04-30,0:09,-122.4034048,37.77542071
110236212,2011-03-22,13:45,-122.4058668,37.77577572
100771795,2010-08-22,12:57,-122.485187,37.71296692
60171942,2006-02-14,11:17,-122.4186097,37.74744531
80814558,2008-08-02,22:25,-122.435797,37.76905787
100659135,2010-07-18,18:41,-122.4411554,37.79162915
60167844,2006-02-13,12:05,-122.4034048,37.77542071
30089137,2003-01-22,19:00,-122.5059233,37.76133993
40904105,2004-08-09,3:29,-122.4220627,37.78992
60304444,2006-03-20,22:47,-122.5002204,37.71895417
110303639,2011-04-14,11:32,-122.4108296,37.73473317
60534641,2006-05-20,4:35,-122.3951632,37.7843097
60372156,2006-04-07,11:30,-122.4184482,37.75223917
91093222,2009-10-23,5:00,-122.4586802,37.74815547
91310866,2009-12-25,22:21,-122.4847317,37.78009171
61064946,2006-10-05,21:43,-122.4278224,37.77578667
120177270,2012-03-03,1:10,-122.4020277,37.78624835
90158766,2009-02-12,22:50,-122.4290689,37.78999681
30105664,2003-01-26,18:12,-122.4014842,37.75263998
80990772,2008-09-18,9:23,-122.4186097,37.74744531
71196250,2007-11-21,22:06,-122.3827051,37.73588581
110677092,2011-08-23,18:15,-122.3834339,37.72973814
80736190,2008-07-08,10:00,-122.417477,37.76435775
60383943,2006-04-10,12:40,-122.4503952,37.75382362
120196521,2012-03-09,16:00,-122.4321428,37.78049558
31503576,2003-12-28,22:50,-122.4127841,37.78486569
80503808,2008-05-14,7:39,-122.435942,37.79506468
90983024,2009-09-22,12:15,-122.4522897,37.72569336
100180328,2010-02-23,13:45,-122.4612085,37.72495025
130360841,2013-05-03,22:50,-122.4067253,37.75856417
70711754,2007-07-15,6:00,-122.4023909,37.72189584
90843161,2009-08-18,9:50,-122.4522897,37.72569336
30781399,2003-06-23,12:00,-122.4388637,37.75543212
60152710,2006-02-09,13:40,-122.4054759,37.79801807
60746062,2006-07-15,19:31,-122.4052029,37.71182741
90181400,2009-02-19,11:49,-122.4235452,37.77967201
60790188,2006-07-26,11:46,-122.4195604,37.75217161
70534879,2007-05-26,2:20,-122.386775,37.76537752
81034117,2008-09-28,22:11,-122.4798177,37.75596541
110470993,2011-06-11,14:38,-122.4220201,37.76701047
120615797,2012-08-04,10:05,-122.4847317,37.78009171
111012605,2011-12-19,11:36,-122.4095043,37.78152627
81333884,2008-12-15,5:58,-122.46913,37.75830357
100283104,2010-03-26,2:11,-122.4067754,37.78849829
110677901,2011-08-24,1:15,-122.4086542,37.75276923
51192676,2005-10-22,4:37,-122.4852263,37.71469453
70536671,2007-05-27,9:09,-122.3934803,37.76210779
60845034,2006-08-08,11:35,-122.389983,37.72872953
60685426,2006-06-28,14:46,-122.3789208,37.72861197
80446082,2008-04-28,21:14,-122.4389633,37.78920672
100999367,2010-10-27,16:53,-122.4871494,37.78378409
100742423,2010-08-13,0:01,-122.3871445,37.74129822
120453826,2012-06-08,20:15,-122.4100535,37.79672826
70416835,2007-04-23,19:00,-122.4195604,37.75217161
81105122,2008-10-16,8:17,-122.4752222,37.72105715
80849458,2008-08-13,3:00,-122.3768501,37.74019357
81351892,2008-12-19,20:47,-122.4050969,37.74911001
131064573,2013-12-19,3:20,-122.3877793,37.72794231
100619991,2010-07-06,14:00,-122.4180039,37.78139384
70939809,2007-09-13,16:31,-122.4173601,37.75230632
91033961,2009-10-06,19:52,-122.4459043,37.77299537
80130649,2008-02-06,20:10,-122.4032771,37.72703923
90932247,2009-09-10,8:50,-122.4495569,37.72295982
30014463,2003-01-04,13:42,-122.4042718,37.787808
130190886,2013-03-06,16:02,-122.4558426,37.77993997
30945987,2003-08-11,0:02,-122.402868,37.74947839
70765864,2007-07-29,6:20,-122.3906139,37.72334828
40107569,2004-01-27,15:35,-122.4725887,37.78444614
110191393,2011-03-06,15:14,-122.4843936,37.75207622
130304877,2013-04-15,12:11,-122.4107742,37.80843502
51337941,2005-11-27,18:04,-122.406948,37.75936727
40982311,2004-09-22,11:30,-122.4625272,37.71418936
81313660,2008-12-09,11:26,-122.4522897,37.72569336
130023431,2013-01-10,11:12,-122.4092477,37.78139873
81020401,2008-09-25,13:45,-122.475003,37.72491208
30611605,2003-05-19,14:30,-122.3907008,37.76292531
